Rk,Player,From,To,Yrs,G,MP_total,FG,FGA,3P,3PA,FT,FTA,ORB,TRB_total,AST_total,STL,BLK,TOV,PF,PTS_total,FG%,3P%,FT%,MP,PTS,TRB,AST
431,Paul Westphal,1982,1983,2,98,2429,404,887,16,56,184,231,28,137,539,106,24,243,241,1008,.455,.286,.797,24.8,10.3,1.4,5.5
432,James White,2013,2013,1,57,435,50,116,14,41,11,19,5,48,29,13,4,17,44,125,.431,.341,.579,7.6,2.2,0.8,0.5
433,Tony White,1988,1988,1,12,117,17,46,0,1,9,13,1,3,10,1,0,13,14,43,.370,.000,.692,9.8,3.6,0.3,0.8
434,Chris Wilcox,2009,2009,1,25,330,54,102,0,1,27,53,31,82,14,8,5,20,48,135,.529,.000,.509,13.2,5.4,3.3,0.6
435,Eddie Lee Wilkins,1985,1991,5,296,3595,541,1170,0,7,294,528,386,962,60,75,59,271,575,1376,.462,.000,.557,12.1,4.6,3.3,0.2
436,Gerald Wilkins,1986,1992,7,555,17017,3406,7385,209,676,1237,1685,698,1800,1939,614,132,1220,1233,8258,.461,.309,.734,30.7,14.9,3.2,3.5
437,Buck Williams,1997,1998,2,115,2234,250,475,0,1,167,250,244,580,74,57,53,117,297,667,.526,.000,.668,19.4,5.8,5.0,0.6
438,Derrick Williams,2016,2016,1,29,393,68,165,14,50,63,86,12,70,22,11,6,16,29,213,.412,.280,.733,13.6,7.3,2.4,0.8
439,Frank Williams,2003,2004,2,77,881,89,241,24,76,45,54,11,71,155,32,8,80,78,247,.369,.316,.833,11.4,3.2,0.9,2.0
440,Herb Williams,1993,1999,7,278,3024,356,829,1,6,83,134,155,608,110,75,163,135,423,796,.429,.167,.619,10.9,2.9,2.2,0.4
441,Jerome Williams,2005,2005,1,79,1211,122,243,0,5,115,172,115,283,41,55,10,65,155,359,.502,.000,.669,15.3,4.5,3.6,0.5
442,Milt Williams,1971,1971,1,5,13,1,1,,,2,3,,0,2,,,,3,4,1.000,,.667,2.6,0.8,0.0,0.4
