Rk,Player,From,To,Yrs,G,MP_total,FG,FGA,3P,3PA,FT,FTA,ORB,TRB_total,AST_total,STL,BLK,TOV,PF,PTS_total,FG%,3P%,FT%,MP,PTS,TRB,AST
327,Mirsad Turkcan,2000,2000,1,10,65,12,28,0,4,5,8,11,23,4,1,1,7,10,29,.429,.000,.625,6.5,2.9,2.3,0.4
328,Andre Turner,1989,1989,1,4,13,3,6,0,0,0,0,0,3,0,2,0,4,2,6,.500,,,3.3,1.5,0.8,0.0
329,Ekpe Udoh,2012,2014,3,141,2579,219,522,0,3,159,216,216,506,100,69,166,99,294,597,.420,.000,.736,18.3,4.2,3.6,0.7
330,Beno Udrih,2012,2013,2,98,1799,259,570,30,108,63,88,43,180,365,53,3,130,108,611,.454,.278,.716,18.4,6.2,1.8,3.7
331,Roko Ukic,2010,2010,1,13,97,14,30,3,12,9,11,0,3,12,1,0,6,6,40,.467,.250,.818,7.5,3.1,0.2,0.9
332,Keith Van Horn,2004,2005,2,58,1584,265,575,63,150,142,156,106,323,78,37,26,97,146,735,.461,.420,.910,27.3,12.7,5.6,1.3
333,Norm Van Lier,1979,1979,1,38,555,30,77,,,47,52,8,40,158,43,3,49,108,107,.390,,.904,14.6,2.8,1.1,4.2
334,Greivis Vasquez,2016,2016,1,16,361,39,112,14,54,22,25,4,37,71,7,0,30,33,114,.348,.259,.880,22.6,7.1,2.3,4.4
335,Rashad Vaughn,2016,2016,1,27,254,20,70,13,36,4,4,5,33,9,7,4,12,19,57,.286,.361,1.000,9.4,2.1,1.2,0.3
336,Charlie Villanueva,2007,2009,3,193,4908,1021,2286,173,529,397,486,361,1214,251,104,103,299,536,2612,.447,.327,.817,25.4,13.5,6.3,1.3
337,Jake Voskuhl,2008,2008,1,44,386,37,80,0,0,24,29,30,97,13,9,21,29,83,98,.463,,.828,8.8,2.2,2.2,0.3
338,Lloyd Walton,1977,1980,4,280,4566,509,1101,1,3,217,309,108,322,1035,232,26,342,317,1236,.462,.333,.702,16.3,4.4,1.2,3.7
339,Bob Warlick,1969,1969,1,3,22,1,8,,,4,5,,1,1,,,,3,6,.125,,.800,7.3,2.0,0.3,0.3
340,Cornell Warner,1974,1975,2,146,3875,420,877,,,187,265,339,1192,194,76,94,,464,1027,.479,,.706,26.5,7.0,8.2,1.3
341,Bryan Warrick,1986,1986,1,5,27,4,10,1,2,1,1,0,3,6,2,0,5,3,10,.400,.500,1.000,5.4,2.0,0.6,1.2
342,Hakim Warrick,2010,2010,1,48,1024,182,378,1,6,125,172,87,212,35,17,10,57,83,490,.481,.167,.727,21.3,10.2,4.4,0.7
343,Richard Washington,1980,1980,1,75,1092,197,421,0,0,46,76,95,276,55,26,48,63,166,440,.468,,.605,14.6,5.9,3.7,0.7
344,Jeff Webb,1971,1972,2,48,409,36,113,,,22,28,,42,26,,,,41,94,.319,,.786,8.5,2.0,0.9,0.5
345,Marvin Webster,1987,1987,1,15,102,10,19,1,1,6,8,12,26,3,3,7,8,17,27,.526,1.000,.750,6.8,1.8,1.7,0.2
346,Bob Weiss,1969,1969,1,15,242,36,114,,,27,34,,27,27,,,,24,99,.316,,.794,16.1,6.6,1.8,1.8
347,Jiri Welsch,2006,2006,1,58,866,86,222,14,49,65,87,22,111,62,34,1,41,65,251,.387,.286,.747,14.9,4.3,1.9,1.1
348,Walt Wesley,1975,1975,1,41,214,37,84,,,14,23,14,55,11,7,5,,43,88,.440,,.609,5.2,2.1,1.3,0.3
349,Mark West,1985,1985,1,1,6,0,1,0,0,2,2,1,1,0,0,1,2,4,2,.000,,1.000,6.0,2.0,1.0,0.0
350,Rory White,1984,1984,1,8,45,7,17,0,0,2,5,5,8,1,2,1,5,3,16,.412,,.400,5.6,2.0,1.0,0.1
351,Aaron Williams,1995,1995,1,15,72,8,24,0,1,8,12,5,19,0,2,6,7,14,24,.333,.000,.667,4.8,1.6,1.3,0.0
352,Mo Williams,2005,2008,4,272,8667,1499,3334,273,749,557,653,171,946,1549,289,34,686,756,3828,.450,.364,.853,31.9,14.1,3.5,5.7
353,Ron Williams,1974,1975,2,117,1656,254,558,,,84,97,29,112,224,72,4,,184,592,.455,,.866,14.2,5.1,1.0,1.9
354,Sam Williams,1969,1970,2,66,672,89,252,,,77,145,,116,64,,,,111,255,.353,,.531,10.2,3.9,1.8,1.0
355,Scott Williams,1999,2001,3,139,2789,389,802,1,4,158,206,276,824,63,89,99,108,413,937,.485,.250,.767,20.1,6.7,5.9,0.5
356,Marv Winkler,1971,1971,1,3,14,3,10,,,2,2,,4,2,,,,3,8,.300,,1.000,4.7,2.7,1.3,0.7
357,Rickie Winslow,1988,1988,1,7,45,3,13,0,1,1,2,3,7,2,1,0,4,9,7,.231,.000,.500,6.4,1.0,1.0,0.3
358,Brian Winters,1976,1983,8,582,18422,4131,8647,114,314,1367,1621,431,1550,2479,718,172,1014,1662,9743,.478,.363,.843,31.7,16.7,2.7,4.3
359,Joe Wolf,1997,1997,1,56,525,40,89,1,7,14,19,32,112,20,14,11,14,105,95,.449,.143,.737,9.4,1.7,2.0,0.4
360,Nate Wolters,2014,2015,2,69,1451,182,420,18,67,60,94,35,165,197,40,15,60,78,442,.433,.269,.638,21.0,6.4,2.4,2.9
361,David Wood,1997,1997,1,46,240,20,38,5,15,12,18,5,27,13,7,6,6,36,57,.526,.333,.667,5.2,1.2,0.6,0.3
362,Orlando Woolridge,1993,1993,1,8,78,18,33,0,0,7,9,3,9,3,1,2,6,8,43,.545,,.778,9.8,5.4,1.1,0.4
363,Haywoode Workman,1999,2000,2,52,1063,96,232,28,76,46,60,15,119,216,43,1,77,76,266,.414,.368,.767,20.4,5.1,2.3,4.2
364,Chris Wright,2014,2014,1,8,126,21,35,0,1,6,15,10,20,5,7,5,5,17,48,.600,.000,.400,15.8,6.0,2.5,0.6
365,Danny Young,1995,1995,1,7,77,9,17,5,12,1,1,1,5,12,4,0,4,8,24,.529,.417,1.000,11.0,3.4,0.7,1.7
366,Bill Zopf,1971,1971,1,53,398,49,135,,,20,36,,46,73,,,,34,118,.363,,.556,7.5,2.2,0.9,1.4
