Rk,Player,From,To,Yrs,G,MP_total,FG,FGA,3P,3PA,FT,FTA,ORB,TRB_total,AST_total,STL,BLK,TOV,PF,PTS_total,FG%,3P%,FT%,MP,PTS,TRB,AST
44,Elton Brand,2014,2015,2,109,1900,221,427,0,3,73,117,125,461,96,57,113,78,246,515,.518,.000,.624,17.4,4.7,4.2,0.9
45,Jim Brasco,1953,1953,1,10,137,14,46,,,16,20,,9,9,,,,12,44,.304,,.800,13.7,4.4,0.9,0.9
46,Randy Breuer,1993,1993,1,12,107,15,31,0,0,2,5,10,28,6,2,3,5,12,32,.484,,.400,8.9,2.7,2.3,0.5
47,Frankie Brian,1951,1951,1,68,,363,1127,,,418,508,,244,266,,,,215,1144,.322,,.823,,16.8,3.6,3.9
48,Bill Bridges,1963,1972,10,683,23574,3269,7490,,,2147,3099,,8656,1997,,,,2576,8685,.436,,.693,34.5,12.7,12.7,2.9
49,Chucky Brown,1998,1998,1,77,1202,161,372,2,8,63,87,57,183,55,23,13,51,100,387,.433,.250,.724,15.6,5.0,2.4,0.7
50,John Brown,1974,1980,6,405,8819,1196,2655,0,0,830,1070,736,1879,595,232,66,140,1265,3222,.450,,.776,21.8,8.0,4.6,1.5
51,Rickey Brown,1983,1985,3,163,1904,221,497,0,1,112,173,178,492,63,42,50,126,324,554,.445,.000,.647,11.7,3.4,3.0,0.4
52,Matt Bullard,1996,1996,1,46,460,66,162,26,72,16,20,18,60,18,17,11,24,50,174,.407,.361,.800,10.0,3.8,1.3,0.4
53,Tom Burleson,1981,1981,1,31,363,41,99,0,0,20,41,44,94,12,8,19,24,73,102,.414,,.488,11.7,3.3,3.0,0.4
54,Art Burris,1952,1952,1,12,269,24,81,,,19,27,,50,16,,,,30,67,.296,,.704,22.4,5.6,4.2,1.3
55,Ed Burton,1965,1965,1,7,42,7,20,,,4,7,,13,2,,,,13,18,.350,,.571,6.0,2.6,1.9,0.3
56,Willie Burton,1997,1997,1,24,380,39,116,13,46,57,68,11,41,11,8,3,26,55,148,.336,.283,.838,15.8,6.2,1.7,0.5
57,Tommy Byrnes,1951,1951,1,19,,33,102,,,21,29,,33,32,,,,33,87,.324,,.724,,4.6,1.7,1.7
58,Barney Cable,1962,1963,2,94,2025,330,748,,,117,185,,609,126,,,,242,777,.441,,.632,21.5,8.3,6.5,1.3
59,Joe Caldwell,1966,1970,5,369,11615,2525,5330,,,1022,1611,,1736,1074,,,,1064,6072,.474,,.634,31.5,16.5,4.7,2.9
60,Bill Calhoun,1953,1955,3,190,6388,498,1504,,,559,775,,814,565,,,,448,1555,.331,,.721,33.6,8.2,4.3,3.0
61,Bob Carpenter,1951,1951,1,35,,82,211,,,58,70,,167,63,,,,79,222,.389,,.829,,6.3,4.8,1.8
62,DeMarre Carroll,2014,2015,2,143,4530,620,1295,217,572,236,322,206,775,252,202,38,154,342,1693,.479,.379,.733,31.7,11.8,5.4,1.8
63,Antoine Carr,1985,1990,6,346,5922,1016,1969,4,18,543,694,405,1152,375,134,320,414,1037,2579,.516,.222,.782,17.1,7.5,3.3,1.1
64,Jerry Chambers,1971,1971,1,65,1168,237,526,,,106,134,,245,61,,,,119,580,.451,,.791,18.0,8.9,3.8,0.9
65,John Chaney,1950,1950,1,6,,10,37,,,8,12,,,15,,,,13,28,.270,,.667,,4.7,,2.5
66,Len Chappell,1971,1971,1,42,451,71,161,,,60,74,,133,16,,,,63,202,.441,,.811,10.7,4.8,3.2,0.4
67,Ken Charles,1977,1978,2,103,3007,427,1039,,,247,306,47,192,377,166,50,37,293,1101,.411,,.807,29.2,10.7,1.9,3.7
68,Lorenzo Charles,1986,1986,1,36,273,49,88,0,0,24,36,13,39,8,2,6,18,37,122,.557,,.667,7.6,3.4,1.1,0.2
69,Maurice Cheeks,1992,1992,1,56,1086,115,249,3,6,26,43,29,95,185,83,0,36,73,259,.462,.500,.605,19.4,4.6,1.7,3.3
70,Josh Childress,2005,2008,4,285,8923,1168,2237,93,258,733,917,626,1582,526,289,153,385,615,3162,.522,.360,.799,31.3,11.1,5.6,1.8
71,Cal Christensen,1951,1952,2,91,374,163,541,,,205,302,,605,195,,,,313,531,.301,,.679,15.6,5.8,6.6,2.1
72,Bob Christian,1971,1973,3,165,1768,206,424,,,144,204,,663,105,,,,306,556,.486,,.706,10.7,3.4,4.0,0.6
73,Speedy Claxton,2007,2009,2,44,1069,93,285,6,28,34,62,12,81,188,72,4,75,132,226,.326,.214,.548,24.3,5.1,1.8,4.3
74,Jack Coleman,1956,1958,3,185,5020,742,1808,,,295,416,,1474,423,,,,525,1779,.410,,.709,27.1,9.6,8.0,2.3
75,Bimbo Coles,2000,2000,1,80,1924,276,607,8,39,85,104,30,172,290,58,11,103,178,645,.455,.205,.817,24.1,8.1,2.2,3.6
