Rk,Player,From,To,Yrs,G,MP_total,FG,FGA,3P,3PA,FT,FTA,ORB,TRB_total,AST_total,STL,BLK,TOV,PF,PTS_total,FG%,3P%,FT%,MP,PTS,TRB,AST
127,Grant Jerrett,2015,2015,1,5,25,3,17,1,13,0,0,1,4,1,0,2,2,7,7,.176,.077,,5.0,1.4,0.8,0.2
128,Avery Johnson,1989,1990,2,96,866,84,225,2,13,38,56,32,67,235,47,4,66,89,208,.373,.154,.679,9.0,2.2,0.7,2.4
129,Clay Johnson,1984,1984,1,25,176,20,50,1,1,14,22,6,12,14,8,2,12,24,55,.400,1.000,.636,7.0,2.2,0.5,0.6
130,Clemon Johnson,1987,1988,2,152,1774,137,283,0,2,92,142,172,451,38,34,66,65,241,366,.484,.000,.648,11.7,2.4,3.0,0.3
131,Dennis Johnson,1977,1980,4,323,9530,1708,3918,12,58,1162,1572,632,1384,965,485,287,582,910,4590,.436,.207,.739,29.5,14.2,4.3,3.0
132,Eddie Johnson,1987,1987,1,24,508,85,186,5,15,42,55,11,46,115,12,1,41,36,217,.457,.333,.764,21.2,9.0,1.9,4.8
133,Eddie Johnson,1991,1993,3,229,6008,1452,3091,77,262,733,823,333,789,390,140,22,362,516,3714,.470,.294,.891,26.2,16.2,3.4,1.7
134,Ervin Johnson,1994,1996,3,190,2706,309,650,1,4,143,219,278,840,71,67,218,176,453,762,.475,.250,.653,14.2,4.0,4.4,0.4
135,George Johnson,1986,1986,1,41,264,12,23,0,0,11,16,26,60,13,6,37,14,46,35,.522,,.688,6.4,0.9,1.5,0.3
136,John Johnson,1978,1982,5,333,9242,1469,3324,0,1,670,859,528,1525,1333,239,107,914,874,3608,.442,.000,.780,27.8,10.8,4.6,4.0
137,Steve Johnson,1990,1990,1,21,242,48,90,0,0,21,35,19,50,16,3,5,25,52,117,.533,,.600,11.5,5.6,2.4,0.8
138,Vinnie Johnson,1980,1982,3,126,2740,473,922,1,7,254,321,219,436,406,103,26,263,246,1201,.513,.143,.791,21.7,9.5,3.5,3.2
139,Perry Jones,2013,2015,3,143,1675,195,464,36,123,62,94,46,252,54,36,33,60,135,488,.420,.293,.660,11.7,3.4,1.8,0.4
140,Enes Kanter,2015,2016,2,60,1505,356,624,4,6,172,222,228,557,49,17,29,92,138,888,.571,.667,.775,25.1,14.8,9.3,0.8
141,Bob Kauffman,1969,1969,1,82,1660,219,496,,,203,289,,484,83,,,,252,641,.442,,.702,20.2,7.8,5.9,1.0
142,Greg Kelser,1982,1983,2,129,2065,328,635,0,3,251,376,225,557,142,65,49,211,342,907,.517,.000,.668,16.0,7.0,4.3,1.1
143,Shawn Kemp,1990,1997,8,625,18609,3672,7054,24,87,2780,3808,2145,5978,1096,775,959,1795,2379,10148,.521,.276,.730,29.8,16.2,9.6,1.8
144,Joe Kennedy,1969,1970,2,86,1323,177,475,,,100,126,,261,67,,,,165,454,.373,,.794,15.4,5.3,3.0,0.8
145,Jerome Kersey,1998,1998,1,37,717,97,233,1,10,39,65,56,135,44,52,14,36,104,234,.416,.100,.600,19.4,6.3,3.6,1.2
146,Chris King,1994,1994,1,15,86,19,48,2,7,15,26,5,15,11,4,0,12,12,55,.396,.286,.577,5.7,3.7,1.0,0.7
147,Reggie King,1984,1985,2,137,2946,296,597,0,2,177,265,178,592,232,82,35,169,233,769,.496,.000,.668,21.5,5.6,4.3,1.7
148,Rich King,1992,1995,4,72,309,44,112,0,2,47,71,30,74,21,5,7,28,62,135,.393,.000,.662,4.3,1.9,1.0,0.3
149,Curtis Kitchen,1987,1987,1,6,31,3,6,0,1,3,4,4,9,1,2,3,0,4,9,.500,.000,.750,5.2,1.5,1.5,0.2
150,Bart Kofoed,1992,1992,1,44,239,25,53,1,7,15,26,6,26,51,2,2,20,26,66,.472,.143,.577,5.4,1.5,0.6,1.2
151,Don Kojis,1971,1972,2,152,4000,776,1705,,,437,557,,770,212,,,,388,1989,.455,,.785,26.3,13.1,5.1,1.4
152,Tommy Kron,1968,1969,2,152,2918,423,1071,,,280,370,,567,472,,,,410,1126,.395,,.757,19.2,7.4,3.7,3.1
