Rk,Player,From,To,Yrs,G,MP_total,FG,FGA,3P,3PA,FT,FTA,ORB,TRB_total,AST_total,STL,BLK,TOV,PF,PTS_total,FG%,3P%,FT%,MP,PTS,TRB,AST
42,Earl Boykins,1999,1999,1,5,51,10,21,1,5,0,0,1,4,6,1,0,7,3,21,.476,.200,,10.2,4.2,0.8,1.2
43,Winford Boynes,1979,1980,2,133,2278,477,1062,0,4,237,305,111,288,170,102,26,215,249,1191,.449,.000,.777,17.1,9.0,2.2,1.3
44,Dudley Bradley,1988,1988,1,63,1432,156,364,37,101,74,97,25,126,150,114,43,88,170,423,.429,.366,.763,22.7,6.7,2.0,2.4
45,Shawn Bradley,1996,1997,2,107,3223,543,1232,1,9,231,343,305,857,75,64,410,212,366,1318,.441,.111,.673,30.1,12.3,8.0,0.7
46,Adrian Branch,1988,1988,1,20,308,56,134,1,5,20,23,20,48,16,16,11,29,41,133,.418,.200,.870,15.4,6.7,2.4,0.8
47,Ron Brewer,1985,1985,1,11,245,49,84,0,2,16,18,8,18,11,5,5,5,15,114,.583,.000,.889,22.3,10.4,1.6,1.0
48,MarShon Brooks,2012,2013,2,129,2560,429,975,62,205,182,242,102,304,207,86,31,187,209,1102,.440,.302,.752,19.8,8.5,2.4,1.6
49,Chucky Brown,1993,1993,1,77,1186,160,331,0,5,71,98,88,232,51,20,24,56,112,391,.483,.000,.724,15.4,5.1,3.0,0.7
50,Damone Brown,2004,2004,1,3,17,1,10,0,0,1,2,3,5,0,2,0,1,2,3,.100,,.500,5.7,1.0,1.7,0.0
51,Markel Brown,2015,2016,2,65,968,94,264,24,92,56,70,16,123,53,37,13,34,80,268,.356,.261,.800,14.9,4.1,1.9,0.8
52,P.J. Brown,1994,1996,3,240,7358,775,1770,8,45,458,624,581,1540,393,219,328,285,688,2016,.438,.178,.734,30.7,8.4,6.4,1.6
53,Tony Brown,1987,1987,1,77,2339,358,810,5,20,152,206,84,219,259,89,14,153,273,873,.442,.250,.738,30.4,11.3,2.8,3.4
54,Stanley Brundy,1990,1990,1,16,128,15,30,0,0,7,18,15,26,3,6,5,6,24,37,.500,,.389,8.0,2.3,1.6,0.2
55,George Bruns,1973,1973,1,13,236,31,66,2,4,22,27,1,8,36,,,20,26,86,.470,.500,.815,18.2,6.6,0.6,2.8
56,George Bucci,1976,1976,1,33,237,50,124,0,4,28,41,15,37,15,12,3,22,19,128,.403,.000,.683,7.2,3.9,1.1,0.5
57,Jud Buechler,1991,1992,2,76,888,98,234,1,4,43,66,63,143,53,35,16,27,81,240,.419,.250,.652,11.7,3.2,1.9,0.7
58,Rodney Buford,2005,2005,1,64,1313,187,489,34,108,37,45,33,189,63,40,4,35,101,445,.382,.315,.822,20.5,7.0,3.0,1.0
59,Bill Bunting,1971,1971,1,39,687,65,151,0,0,60,69,64,142,34,,,51,94,190,.430,,.870,17.6,4.9,3.6,0.9
60,David Burns,1982,1982,1,3,34,2,5,0,0,3,6,0,2,4,1,0,5,4,7,.400,,.500,11.3,2.3,0.7,1.3
61,Scott Burrell,1999,2000,2,106,2042,240,627,110,304,73,92,97,375,117,107,55,61,255,663,.383,.362,.793,19.3,6.3,3.5,1.1
62,Michael Cage,1998,2000,2,99,1443,55,108,0,1,23,39,148,389,41,53,52,27,135,133,.509,.000,.590,14.6,1.3,3.9,0.4
