Rk,Player,From,To,Yrs,G,MP_total,FG,FGA,3P,3PA,FT,FTA,ORB,TRB_total,AST_total,STL,BLK,TOV,PF,PTS_total,FG%,3P%,FT%,MP,PTS,TRB,AST
42,Torgeir Bryn,1990,1990,1,3,10,0,2,0,0,4,6,0,2,0,2,1,1,5,4,.000,,.667,3.3,1.3,0.7,0.0
43,Reggie Bullock,2014,2015,2,68,658,66,175,37,112,11,14,11,94,18,18,3,19,43,180,.377,.330,.786,9.7,2.6,1.4,0.3
44,Steve Burtt,1988,1988,1,19,312,62,138,0,4,47,69,6,27,38,10,5,40,56,171,.449,.000,.681,16.4,9.0,1.4,2.0
45,Caron Butler,2012,2013,2,141,3750,592,1425,220,587,162,197,85,453,156,103,20,149,262,1566,.415,.375,.822,26.6,11.1,3.2,1.1
46,Greg Butler,1991,1991,1,9,37,5,19,0,0,4,6,8,16,1,0,0,4,9,14,.263,,.667,4.1,1.6,1.8,0.1
47,Rasual Butler,2010,2011,2,123,3446,429,1096,187,561,140,172,49,316,143,44,83,101,155,1185,.391,.333,.814,28.0,9.6,2.6,1.2
48,Michael Cage,1985,1988,4,305,8758,1237,2468,0,7,881,1252,1019,2669,373,293,191,518,755,3355,.501,.000,.704,28.7,11.0,8.8,1.2
49,Marcus Camby,2009,2010,2,113,3521,420,852,3,10,192,273,327,1306,278,120,231,157,234,1035,.493,.300,.703,31.2,9.2,11.6,2.5
50,Bob Carrington,1980,1980,1,10,134,15,37,0,2,6,8,6,13,3,4,1,5,18,36,.405,.000,.750,13.4,3.6,1.3,0.3
51,Sam Cassell,2006,2008,3,174,5035,937,2139,116,353,555,636,79,559,940,130,22,354,420,2545,.438,.329,.873,28.9,14.6,3.2,5.4
52,Harvey Catchings,1985,1985,1,70,1049,72,149,0,1,59,89,89,262,14,15,57,55,162,203,.483,.000,.663,15.0,2.9,3.7,0.2
53,Lionel Chalmers,2005,2005,1,36,433,42,125,12,49,15,24,4,31,51,13,0,24,30,111,.336,.245,.625,12.0,3.1,0.9,1.4
54,Jerry Chambers,1972,1972,1,26,369,78,180,,,22,32,,67,23,,,,39,178,.433,,.688,14.2,6.8,2.6,0.9
55,Tom Chambers,1982,1983,2,160,5347,1073,2155,0,10,637,946,429,1080,338,137,103,454,674,2783,.498,.000,.673,33.4,17.4,6.8,2.1
56,Ken Charles,1974,1976,3,219,4630,656,1419,,,334,430,151,448,429,241,78,,513,1646,.462,,.777,21.1,7.5,2.0,2.0
57,Pete Chilcutt,2000,2000,1,24,347,31,63,5,16,6,6,27,79,16,10,6,11,39,73,.492,.313,1.000,14.5,3.0,3.3,0.7
58,Doug Christie,2007,2007,1,7,82,5,17,1,6,2,3,3,11,8,3,1,5,11,13,.294,.167,.667,11.7,1.9,1.6,1.1
59,Keith Closs,1998,2000,3,130,1647,201,427,0,4,100,165,133,372,44,28,163,78,167,502,.471,.000,.606,12.7,3.9,2.9,0.3
60,Norris Coleman,1988,1988,1,29,431,66,191,1,2,20,36,36,81,13,11,6,16,51,153,.346,.500,.556,14.9,5.3,2.8,0.4
61,James Collins,1998,1998,1,23,103,21,55,9,20,8,14,7,14,3,6,3,8,12,59,.382,.450,.571,4.5,2.6,0.6,0.1
62,Jarron Collins,2011,2011,1,23,157,5,15,0,0,7,10,7,17,1,4,1,5,24,17,.333,,.700,6.8,0.7,0.7,0.0
63,Mardy Collins,2009,2010,2,82,1285,144,352,17,45,37,58,42,149,145,52,11,85,118,342,.409,.378,.638,15.7,4.2,1.8,1.8
64,Darren Collison,2014,2014,1,80,2069,324,694,71,189,192,224,47,188,297,93,15,132,150,911,.467,.376,.857,25.9,11.4,2.4,3.7
65,Marty Conlon,2000,2000,1,3,9,1,2,0,0,0,0,1,2,0,0,0,0,1,2,.500,,,3.0,0.7,0.7,0.0
66,Lester Conner,1993,1993,1,31,422,28,62,0,0,18,19,16,49,65,34,4,21,39,74,.452,,.947,13.6,2.4,1.6,2.1
67,Will Conroy,2007,2007,1,4,35,0,3,0,0,0,4,2,5,8,0,0,2,6,0,.000,,.000,8.8,0.0,1.3,2.0
68,Brian Cook,2011,2012,2,56,568,83,219,39,106,19,28,23,119,17,14,15,29,101,224,.379,.368,.679,10.1,4.0,2.1,0.3
69,Joe Cooper,1983,1983,1,13,275,31,59,0,0,11,20,36,71,15,8,19,23,39,73,.525,,.550,21.2,5.6,5.5,1.2
