Rk,Player,From,To,Yrs,G,MP_total,FG,FGA,3P,3PA,FT,FTA,ORB,TRB_total,AST_total,STL,BLK,TOV,PF,PTS_total,FG%,3P%,FT%,MP,PTS,TRB,AST
333,Olden Polynice,1993,1994,2,104,2649,432,835,0,2,108,234,329,874,51,55,57,103,234,972,.517,.000,.462,25.5,9.3,8.4,0.5
334,Ben Poquette,1978,1979,2,128,1963,293,689,,,153,202,149,481,77,48,120,105,267,739,.425,,.757,15.3,5.8,3.8,0.6
335,Howard Porter,1975,1978,4,202,4819,967,2016,,,239,294,307,986,97,104,139,5,426,2173,.480,,.813,23.9,10.8,4.9,0.5
336,Kevin Porter,1976,1979,4,190,5995,957,1981,,,340,468,109,366,1920,286,16,349,674,2254,.483,,.726,31.6,11.9,1.9,10.1
337,Jim Price,1978,1978,1,34,839,153,363,,,84,103,27,101,102,45,5,74,82,390,.421,,.816,24.7,11.5,3.0,3.0
338,Tayshaun Prince,2003,2015,12,792,26166,4029,8783,510,1376,1438,1881,1005,3683,2074,455,448,942,1056,10006,.459,.371,.764,33.0,12.6,4.7,2.6
339,Roy Pugh,1949,1949,1,4,,4,8,,,1,4,,,1,,,,3,9,.500,,.250,,2.3,,0.3
340,Bob Quick,1970,1972,3,93,1647,243,534,,,209,274,,344,78,,,,212,695,.455,,.763,17.7,7.5,3.7,0.8
341,Mark Randall,1993,1993,1,35,240,40,79,1,7,16,26,27,55,10,4,2,16,32,97,.506,.143,.615,6.9,2.8,1.6,0.3
342,Theo Ratliff,1996,2008,4,191,3406,382,718,0,1,221,317,284,724,48,61,300,155,437,985,.532,.000,.697,17.8,5.2,3.8,0.3
343,Zeljko Rebraca,2002,2004,3,125,1889,291,573,0,0,195,251,130,431,51,39,99,126,316,777,.508,,.777,15.1,6.2,3.4,0.4
344,Hub Reed,1965,1965,1,62,753,84,221,,,40,58,,206,38,,,,136,208,.380,,.690,12.1,3.4,3.3,0.6
345,Ron Reed,1966,1967,2,119,2245,409,1124,,,133,233,,762,173,,,,278,951,.364,,.571,18.9,8.0,6.4,1.5
346,Khalid Reeves,1999,1999,1,11,112,8,21,1,3,8,14,3,7,11,4,0,7,13,25,.381,.333,.571,10.2,2.3,0.6,1.0
347,Don Reid,1996,2003,6,253,3563,367,686,0,1,177,267,262,674,85,120,165,139,692,911,.535,.000,.663,14.1,3.6,2.7,0.3
348,George Reynolds,1970,1970,1,10,44,8,19,,,5,7,,14,12,,,,10,21,.421,,.714,4.4,2.1,1.4,1.2
349,Jim Riffey,1951,1951,1,35,,65,185,,,20,26,,61,16,,,,54,150,.351,,.769,,4.3,1.7,0.5
350,Alvin Robertson,1993,1993,1,30,941,108,249,23,67,40,58,60,132,107,65,9,56,98,279,.434,.343,.690,31.4,9.3,4.4,3.6
351,Clifford Robinson,2002,2003,2,161,5680,826,2004,202,563,304,444,160,704,470,176,183,309,502,2158,.412,.359,.685,35.3,13.4,4.4,2.9
352,Jackie Robinson,1980,1980,1,7,51,9,17,0,1,9,11,3,5,0,3,3,2,8,27,.529,.000,.818,7.3,3.9,0.7,0.0
353,Wayne Robinson,1981,1981,1,81,1592,234,509,0,6,175,240,117,294,112,46,24,149,186,643,.460,.000,.729,19.7,7.9,3.6,1.4
354,Red Rocha,1957,1957,1,72,1154,136,390,,,109,144,,272,81,,,,162,381,.349,,.757,16.0,5.3,3.8,1.1
355,Dennis Rodman,1987,1993,7,549,16345,2016,3751,65,257,747,1261,2395,6299,715,401,399,802,1737,4844,.537,.253,.592,29.8,8.8,11.5,1.3
356,Lou Roe,1996,1996,1,49,372,32,90,2,9,24,32,30,78,15,10,8,17,42,90,.356,.222,.750,7.6,1.8,1.6,0.3
357,Al Roges,1955,1955,1,,,,,,,,,,,,,,,,,,,,,,,
358,Tree Rollins,1991,1991,1,37,202,14,33,0,0,8,14,13,42,4,2,20,15,35,36,.424,,.571,5.5,1.0,1.1,0.1
359,Lorenzo Romar,1985,1985,1,5,35,2,8,0,2,5,5,0,0,10,4,0,5,5,9,.250,.000,1.000,7.0,1.8,0.0,2.0
360,Dick Rosenthal,1955,1957,2,85,1594,218,602,,,139,198,,352,170,,,,201,575,.362,,.702,18.8,6.8,4.1,2.0
361,Dan Roundfield,1985,1985,1,56,1492,236,505,0,2,139,178,175,453,102,26,54,123,147,611,.467,.000,.781,26.6,10.9,8.1,1.8
362,Curtis Rowe,1972,1976,5,407,13954,2232,4596,,,943,1352,572,3256,711,146,125,,938,5407,.486,,.697,34.3,13.3,8.0,1.7
363,Jim Rowinski,1989,1989,1,6,8,0,2,0,0,4,4,0,2,0,0,0,0,0,4,.000,,1.000,1.3,0.7,0.3,0.0
364,Jeff Ruland,1993,1993,1,11,55,5,11,0,0,2,4,9,18,2,2,0,6,16,12,.455,,.500,5.0,1.1,1.6,0.2
365,Walker Russell,1983,1988,4,86,879,81,228,3,21,59,71,25,92,155,20,1,101,96,224,.355,.143,.831,10.2,2.6,1.1,1.8
366,Walker Russell,2012,2012,1,28,357,33,95,4,13,14,22,7,26,58,18,1,33,29,84,.347,.308,.636,12.8,3.0,0.9,2.1
367,John Salley,1987,1992,6,459,10261,1224,2350,1,11,971,1387,805,2095,495,289,709,584,1491,3420,.521,.091,.700,22.4,7.5,4.6,1.1
368,Cheikh Samb,2008,2008,1,4,31,3,4,0,0,1,2,3,7,0,1,2,1,8,7,.750,,.500,7.8,1.8,1.8,0.0
369,Pepe Sanchez,2003,2003,1,9,37,0,5,0,0,0,0,4,6,8,5,0,2,3,0,.000,,,4.1,0.0,0.7,0.9
370,Fred Schaus,1950,1954,5,290,5394,1209,3474,,,1265,1532,,1392,873,,,,989,3683,.348,,.826,35.0,12.7,6.3,3.0
371,Howie Schultz,1950,1950,1,32,,96,355,,,79,122,,,81,,,,119,271,.270,,.648,,8.5,,2.5
372,John Schweitz,1987,1987,1,3,7,0,1,0,0,0,0,0,1,0,0,0,2,2,0,.000,,,2.3,0.0,0.3,0.0
373,Fred Scolari,1953,1954,2,80,2094,220,653,,,200,248,,186,168,,,,209,640,.337,,.806,26.2,8.0,2.3,2.1
374,Ray Scott,1962,1967,6,421,13885,2567,6455,,,1590,2256,,4508,1128,,,,1341,6724,.398,,.705,33.0,16.0,10.7,2.7
375,Malik Sealy,1998,1998,1,77,1641,216,505,9,41,150,182,48,219,100,65,20,79,156,591,.428,.220,.824,21.3,7.7,2.8,1.3
376,Brad Sellers,1992,1992,1,43,226,41,88,0,1,20,26,15,42,14,1,10,15,20,102,.466,.000,.769,5.3,2.4,1.0,0.3
377,Phil Sellers,1977,1977,1,44,329,73,190,,,52,72,19,41,25,22,0,,56,198,.384,,.722,7.5,4.5,0.9,0.6
