Rk,Player,From,To,Yrs,G,MP_total,FG,FGA,3P,3PA,FT,FTA,ORB,TRB_total,AST_total,STL,BLK,TOV,PF,PTS_total,FG%,3P%,FT%,MP,PTS,TRB,AST
356,Bob Portman,1970,1973,4,221,2937,519,1172,,,216,277,,729,128,,,,292,1254,.443,,.780,13.3,5.7,3.3,0.6
357,Josh Powell,2007,2007,1,30,289,41,78,0,0,22,30,17,69,18,5,12,24,43,104,.526,,.733,9.6,3.5,2.3,0.6
358,Paul Pressey,1993,1993,1,18,268,29,66,0,4,21,27,8,31,30,11,5,23,36,79,.439,.000,.778,14.9,4.4,1.7,1.7
359,Mark Price,1997,1997,1,70,1876,263,589,112,283,155,171,36,179,342,67,3,161,100,793,.447,.396,.906,26.8,11.3,2.6,4.9
360,Kevin Pritchard,1991,1991,1,62,773,88,229,5,31,62,77,16,65,81,30,8,59,104,243,.384,.161,.805,12.5,3.9,1.0,1.3
361,Roy Pugh,1949,1949,1,13,,8,36,,,4,10,,,6,,,,12,20,.222,,.400,,1.5,,0.5
362,Vladimir Radmanovic,2010,2011,2,107,1927,226,549,93,259,46,55,107,361,117,70,50,96,236,591,.412,.359,.836,18.0,5.5,3.4,1.1
363,Frank Radovich,1962,1962,1,37,175,37,93,,,13,26,,51,4,,,,27,87,.398,,.500,4.7,2.4,1.4,0.1
364,Moe Radovich,1953,1953,1,4,33,5,13,,,4,4,,1,8,,,,5,14,.385,,1.000,8.3,3.5,0.3,2.0
365,Ray Radziszewski,1958,1958,1,1,6,0,3,,,0,0,,2,1,,,,1,0,.000,,,6.0,0.0,2.0,1.0
366,Anthony Randolph,2009,2010,2,96,1878,336,740,1,9,210,277,201,578,91,70,125,129,233,883,.454,.111,.758,19.6,9.2,6.0,0.9
367,Clifford Ray,1975,1981,7,549,13427,1544,2877,0,2,783,1357,1372,4310,957,443,465,532,1809,3871,.537,.000,.577,24.5,7.1,7.9,1.7
368,Billy Reid,1981,1981,1,59,597,84,185,0,5,22,39,27,60,71,33,5,78,111,190,.454,.000,.564,10.1,3.2,1.0,1.2
369,Jason Richardson,2002,2007,6,438,15539,3060,7075,700,2001,1188,1717,660,2363,1394,538,196,953,1069,8008,.433,.350,.692,35.5,18.3,5.4,3.2
370,Micheal Ray Richardson,1983,1983,1,33,1074,176,427,4,31,55,87,45,145,245,101,9,137,124,411,.412,.129,.632,32.5,12.5,4.4,7.4
371,Mitch Richmond,1989,1991,3,234,8543,1992,4097,107,300,1210,1440,403,1280,795,306,71,700,640,5301,.486,.357,.840,36.5,22.7,5.5,3.4
372,Anthony Roberson,2007,2007,1,20,227,44,104,21,55,2,3,2,21,10,12,0,13,27,111,.423,.382,.667,11.4,5.6,1.1,0.5
373,Tony Robertson,1979,1979,1,12,74,15,40,,,6,9,6,10,4,8,0,8,10,36,.375,,.667,6.2,3.0,0.8,0.3
374,Clifford Robinson,2004,2005,2,124,3936,507,1299,154,441,158,231,85,436,345,112,112,214,344,1326,.390,.349,.684,31.7,10.7,3.5,2.8
375,Larry Robinson,1991,1991,1,24,170,24,59,0,0,8,15,15,23,11,9,1,16,23,56,.407,,.533,7.1,2.3,1.0,0.5
376,Nate Robinson,2012,2012,1,51,1192,205,484,66,181,94,113,15,100,231,59,2,75,118,570,.424,.365,.832,23.4,11.2,2.0,4.5
377,Jack Rocker,1948,1948,1,9,,8,22,,,1,1,,,3,,,,2,17,.364,,1.000,,1.9,,0.3
378,Guy Rodgers,1959,1966,8,587,21148,3046,8052,,,1424,2073,,2995,4855,,,,1940,7516,.378,,.687,36.0,12.8,5.1,8.3
379,Lou Roe,1997,1997,1,17,107,14,48,3,11,9,19,7,14,6,3,1,11,10,40,.292,.273,.474,6.3,2.4,0.8,0.4
380,Carlos Rogers,1995,1995,1,49,1017,180,340,2,14,76,146,108,278,37,22,52,84,124,438,.529,.143,.521,20.8,8.9,5.7,0.8
381,Marshall Rogers,1977,1977,1,26,176,43,116,,,14,15,6,11,10,8,3,,33,100,.371,,.933,6.8,3.8,0.4,0.4
382,Phil Rollins,1959,1959,1,23,251,29,87,,,28,45,,31,44,,,,19,86,.333,,.622,10.9,3.7,1.3,1.9
383,Lorenzo Romar,1981,1984,4,217,4130,558,1191,15,55,202,268,45,293,818,185,21,282,310,1333,.469,.273,.754,19.0,6.1,1.4,3.8
384,Petey Rosenberg,1947,1947,1,51,,60,287,,,30,49,,,27,,,,64,150,.209,,.612,,2.9,,0.5
385,Lennie Rosenbluth,1958,1959,2,82,578,134,410,,,74,113,,145,29,,,,59,342,.327,,.655,7.0,4.2,1.8,0.4
386,Donald Royal,1997,1997,1,36,509,37,96,0,2,62,78,33,95,14,11,9,22,55,136,.385,.000,.795,14.1,3.8,2.6,0.4
387,Clifford Rozier,1995,1997,3,126,2222,268,526,2,9,94,207,271,657,67,54,69,129,331,632,.510,.222,.454,17.6,5.0,5.2,0.5
388,Guy Rucker,2003,2003,1,3,4,0,0,0,0,0,0,0,1,1,0,0,0,1,0,,,,1.3,0.0,0.3,0.3
389,John Rudometkin,1965,1965,1,22,354,49,146,,,34,50,,92,16,,,,49,132,.336,,.680,16.1,6.0,4.2,0.7
390,Joe Ruklick,1960,1962,3,114,909,176,481,,,46,75,,286,48,,,,164,398,.366,,.613,8.0,3.5,2.5,0.4
391,Jerry Rullo,1947,1950,3,93,,108,366,,,55,93,,,70,,,,134,271,.295,,.591,,2.9,,0.8
392,Brandon Rush,2012,2016,4,124,2391,293,632,129,310,78,106,48,363,121,47,76,97,115,793,.464,.416,.736,19.3,6.4,2.9,1.0
393,Cazzie Russell,1972,1974,3,241,7905,1968,4227,,,695,826,142,1131,627,54,17,,541,4631,.466,,.841,32.8,19.2,4.7,2.6
394,Ed Sadowski,1949,1950,2,77,,387,992,,,292,425,,,199,,,,336,1066,.390,,.687,,13.8,,2.6
395,Kenny Sailors,1948,1948,1,2,,2,3,,,0,0,,,0,,,,4,4,.667,,,,2.0,,0.0
396,Ralph Sampson,1988,1989,2,90,2044,344,776,3,13,148,206,187,597,162,55,120,199,271,839,.443,.231,.718,22.7,9.3,6.6,1.8
397,Woody Sauldsberry,1958,1960,3,214,6968,1215,3436,,,299,497,,2002,241,,,,724,2729,.354,,.602,32.6,12.8,9.4,1.1
398,Bob Schafer,1956,1956,1,12,82,12,35,,,7,12,,13,9,,,,14,31,.343,,.583,6.8,2.6,1.1,0.8
399,Dale Schlueter,1969,1970,2,94,1244,150,324,,,105,179,,447,55,,,,189,405,.463,,.587,13.2,4.3,4.8,0.6
400,Kenny Sears,1963,1964,2,105,1301,166,332,,,169,201,,233,97,,,,170,501,.500,,.841,12.4,4.8,2.2,0.9
401,Rony Seikaly,1995,1996,2,100,2848,447,882,2,3,315,442,243,765,116,60,106,284,341,1211,.507,.667,.713,28.5,12.1,7.7,1.2
402,George Senesky,1947,1954,8,482,5032,1279,4087,,,897,1277,,878,1553,,,,982,3455,.313,,.702,27.3,7.2,3.5,3.2
403,Ansu Sesay,2005,2005,1,16,128,17,42,2,8,13,24,18,38,12,2,3,8,16,49,.405,.250,.542,8.0,3.1,2.4,0.8
404,John Shasky,1990,1990,1,14,51,4,14,0,0,2,6,4,13,1,1,2,2,10,10,.286,,.333,3.6,0.7,0.9,0.1
405,Brian Shaw,1998,1998,1,39,1028,103,307,21,67,24,33,20,151,173,35,14,75,93,251,.336,.313,.727,26.4,6.4,3.9,4.4
406,Fred Sheffield,1947,1947,1,22,,29,146,,,16,26,,,4,,,,34,74,.199,,.615,,3.4,,0.2
407,Purvis Short,1979,1987,9,614,19230,4830,10091,101,354,2133,2608,1187,2976,1709,710,131,1413,1964,11894,.479,.285,.818,31.3,19.4,4.8,2.8
408,Gene Shue,1955,1955,1,6,65,3,15,,,5,6,,10,11,,,,4,11,.200,,.833,10.8,1.8,1.7,1.8
409,Dickey Simpkins,1998,1998,1,19,196,22,48,0,1,10,26,19,46,16,5,2,19,19,54,.458,.000,.385,10.3,2.8,2.4,0.8
410,Adrian Smith,1970,1971,2,66,881,131,357,,,135,151,,73,117,,,,90,397,.367,,.894,13.3,6.0,1.1,1.8
411,Clinton Smith,1987,1987,1,41,341,50,117,0,2,27,36,26,56,45,13,1,26,36,127,.427,.000,.750,8.3,3.1,1.4,1.1
412,Derek Smith,1983,1983,1,27,154,21,51,0,2,17,25,10,38,2,0,4,11,40,59,.412,.000,.680,5.7,2.2,1.4,0.1
413,Ish Smith,2012,2012,1,6,63,12,30,2,5,1,2,2,9,9,4,0,1,4,27,.400,.400,.500,10.5,4.5,1.5,1.5
414,Joe Smith,1996,1998,3,211,7552,1399,3117,22,81,770,977,702,1734,271,203,258,436,637,3590,.449,.272,.788,35.8,17.0,8.2,1.3
415,Larry Smith,1981,1989,9,617,18023,2202,4088,0,4,821,1492,2709,6440,723,516,384,1034,2244,5225,.539,.000,.550,29.2,8.5,10.4,1.2
416,Otis Smith,1988,1989,2,137,2955,599,1284,20,78,331,419,238,547,284,174,76,224,302,1549,.467,.256,.790,21.6,11.3,4.0,2.1
