Rk,Player,From,To,Yrs,G,MP_total,FG,FGA,3P,3PA,FT,FTA,ORB,TRB_total,AST_total,STL,BLK,TOV,PF,PTS_total,FG%,3P%,FT%,MP,PTS,TRB,AST
244,Michael Redd,2012,2012,1,51,770,144,360,42,132,88,111,14,77,33,13,0,37,29,418,.400,.318,.793,15.1,8.2,1.5,0.6
245,Terrence Rencher,1996,1996,1,2,8,1,1,0,0,1,3,0,2,0,0,1,2,1,3,1.000,,.333,4.0,1.5,1.0,0.0
246,Shawn Respert,1999,1999,1,12,99,13,36,4,13,7,10,2,13,8,5,0,5,10,37,.361,.308,.700,8.3,3.1,1.1,0.7
247,Jason Richardson,2009,2011,3,162,5200,1024,2141,321,814,303,400,178,776,289,155,61,193,318,2672,.478,.394,.758,32.1,16.5,4.8,1.8
248,Quentin Richardson,2005,2005,1,79,2839,407,1045,226,631,136,184,91,479,158,96,27,102,197,1176,.389,.358,.739,35.9,14.9,6.1,2.0
249,Pat Riley,1976,1976,1,60,790,112,288,,,54,74,15,47,57,21,5,,107,278,.389,,.730,13.2,4.6,0.8,1.0
250,Rick Robey,1984,1986,3,111,1533,214,457,1,4,95,138,123,354,128,41,19,151,219,524,.468,.250,.688,13.8,4.7,3.2,1.2
251,Clifford Robinson,1998,2001,4,292,9689,1759,3852,295,796,962,1332,431,1330,759,344,292,580,899,4775,.457,.371,.722,33.2,16.4,4.6,2.6
252,Rumeal Robinson,1997,1997,1,12,87,16,34,3,10,1,4,1,7,8,1,0,5,8,36,.471,.300,.250,7.3,3.0,0.6,0.7
253,Truck Robinson,1979,1982,4,264,9299,1940,3805,1,1,908,1377,687,2505,566,185,137,793,773,4789,.510,1.000,.659,35.2,18.1,9.5,2.1
254,Rodney Rogers,2000,2002,3,214,5723,1054,2291,220,591,429,595,327,1047,422,241,111,386,707,2757,.460,.372,.721,26.7,12.9,4.9,2.0
255,Jalen Rose,2007,2007,1,29,246,38,86,21,47,11,12,3,23,16,5,2,9,22,108,.442,.447,.917,8.5,3.7,0.8,0.6
